Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 15:54:26
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\New folder\CSV\sws_r3395_190417155425_R3395.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =sws_r3395
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..14-R3395  317.
  Instrument number       =          UTC-4     
  Location                =sws_r3395
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =32:48:16 08/06/17
  End date / time         =32:48:14 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/19 09:48:32,1069.142,25.030,62.752
2017/06/19 10:48:32,1069.142,25.013,62.720
2017/06/19 11:48:32,1069.433,24.993,62.680
2017/06/19 12:48:32,1069.550,24.977,62.664
2017/06/19 13:48:32,1069.258,24.957,62.656
2017/06/19 14:48:32,1068.967,24.937,62.676
2017/06/19 15:48:32,1068.792,24.923,62.676
2017/06/19 16:48:32,1068.792,24.910,62.648
2017/06/19 17:48:32,1068.500,24.900,62.632
2017/06/19 18:48:32,1068.558,24.897,62.660
2017/06/19 19:48:32,1070.192,24.907,62.664
2017/06/19 20:48:32,1076.608,24.903,62.784
2017/06/19 21:48:32,1079.583,24.900,62.784
2017/06/19 22:48:32,1081.392,24.903,62.780
2017/06/19 23:48:32,1082.442,24.907,62.784
2017/06/20 00:48:32,1083.025,24.907,62.780
2017/06/20 01:48:32,1083.375,24.907,62.780
2017/06/20 02:48:32,1083.492,24.903,62.772
2017/06/20 03:48:32,1083.200,24.897,62.764
2017/06/20 04:48:32,1083.200,24.890,62.808
2017/06/20 05:48:32,1083.200,24.880,62.792
2017/06/20 06:48:32,1083.200,24.867,62.792
2017/06/20 07:48:32,1083.200,24.853,62.752
2017/06/20 08:48:32,1083.492,24.840,62.804
2017/06/20 09:48:32,1083.492,24.823,62.772
2017/06/20 10:48:32,1083.783,24.810,62.768
2017/06/20 11:48:32,1083.783,24.790,62.808
2017/06/20 12:48:32,1083.783,24.770,62.800
2017/06/20 13:48:32,1083.667,24.753,62.752
2017/06/20 14:48:32,1083.375,24.737,62.792
2017/06/20 15:48:32,1083.200,24.723,62.772
2017/06/20 16:48:32,1082.733,24.710,62.748
2017/06/20 17:48:32,1082.617,24.697,62.724
2017/06/20 18:48:32,1082.150,24.690,62.716
2017/06/20 19:48:32,1082.325,24.683,62.764
2017/06/20 20:48:32,1082.325,24.677,62.768
2017/06/20 21:48:32,1082.150,24.673,62.756
2017/06/20 22:48:32,1082.617,24.673,62.760
2017/06/20 23:48:32,1082.617,24.673,62.740
2017/06/21 00:48:32,1082.617,24.673,62.740
2017/06/21 01:48:32,1083.200,24.673,62.740
2017/06/21 02:48:32,1083.317,24.673,62.744
2017/06/21 03:48:32,1083.492,24.690,62.708
2017/06/21 04:48:32,1083.783,24.667,62.752
2017/06/21 05:48:32,1083.783,24.667,62.776
2017/06/21 06:48:32,1083.783,24.660,62.748
2017/06/21 07:48:32,1084.075,24.657,62.716
2017/06/21 08:48:32,1084.250,24.650,62.716
2017/06/21 09:48:32,1084.833,24.640,62.712
2017/06/21 10:48:32,1085.008,24.633,62.748
2017/06/21 11:48:32,1085.300,24.623,62.732
2017/06/21 12:48:32,1085.300,24.613,62.732
2017/06/21 13:48:32,1085.767,24.613,62.720
2017/06/21 14:48:32,1086.817,24.600,62.732
2017/06/21 15:48:32,1087.225,24.593,62.736
2017/06/21 16:48:32,1087.983,24.587,62.728
2017/06/21 17:48:32,1088.567,24.580,62.784
2017/06/21 18:48:32,1088.742,24.580,62.764
2017/06/21 19:48:32,1089.208,24.580,62.764
2017/06/21 20:48:32,1089.500,24.583,62.720
2017/06/21 21:48:32,1089.908,24.590,62.724
2017/06/21 22:48:32,1090.258,24.597,62.736
2017/06/21 23:48:32,1090.550,24.607,62.736
2017/06/22 00:48:32,1090.842,24.613,62.736
2017/06/22 01:48:32,1090.842,24.623,62.736
2017/06/22 02:48:32,1090.842,24.630,62.740
2017/06/22 03:48:32,1090.667,24.640,62.700
2017/06/22 04:48:32,1090.375,24.643,62.696
2017/06/22 05:48:32,1090.083,24.650,62.688
2017/06/22 06:48:32,1089.908,24.657,62.708
2017/06/22 07:48:32,1089.617,24.660,62.692
2017/06/22 08:48:32,1089.967,24.660,62.704
2017/06/22 09:48:32,1090.258,24.663,62.704
2017/06/22 10:48:32,1090.083,24.660,62.696
2017/06/22 11:48:32,1090.258,24.657,62.696
2017/06/22 12:48:32,1090.083,24.650,62.676
2017/06/22 13:48:32,1090.375,24.647,62.668
2017/06/22 14:48:32,1090.375,24.653,62.680
2017/06/22 15:48:32,1090.667,24.647,62.684
2017/06/22 16:48:32,1090.842,24.640,62.692
2017/06/22 17:48:32,1090.958,24.643,62.696
2017/06/22 18:48:32,1090.842,24.643,62.688
2017/06/22 19:48:32,1090.667,24.657,62.688
2017/06/22 20:48:32,1090.667,24.670,62.716
2017/06/22 21:48:32,1090.958,24.687,62.680
2017/06/22 22:48:32,1091.017,24.707,62.692
2017/06/22 23:48:32,1091.308,24.733,62.724
2017/06/23 00:48:32,1091.425,24.757,62.660
2017/06/23 01:48:32,1091.425,24.783,62.716
2017/06/23 02:48:32,1091.425,24.807,62.680
2017/06/23 03:48:32,1090.958,24.830,62.708
2017/06/23 04:48:32,1090.667,24.847,62.656
2017/06/23 05:48:32,1090.375,24.863,62.672
2017/06/23 06:48:32,1090.083,24.880,62.688
2017/06/23 07:48:32,1090.258,24.893,62.708
2017/06/23 08:48:32,1090.258,24.903,62.660
2017/06/23 09:48:32,1090.258,24.913,62.672
2017/06/23 10:48:32,1090.083,24.920,62.684
2017/06/23 11:48:32,1090.083,24.923,62.676
2017/06/23 12:48:32,1089.908,24.923,62.656
2017/06/23 13:48:32,1089.617,24.923,62.652
2017/06/23 14:48:32,1089.500,24.927,62.672
2017/06/23 15:48:32,1089.792,24.940,62.680
2017/06/23 16:48:32,1090.083,24.930,62.700
2017/06/23 17:48:32,1090.083,24.933,62.700
2017/06/23 18:48:32,1089.908,24.940,62.700
2017/06/23 19:48:32,1089.617,24.947,62.716
2017/06/23 20:48:32,1089.792,24.960,62.644
2017/06/23 21:48:32,1089.908,24.977,62.664
2017/06/23 22:48:32,1090.258,24.997,62.688
2017/06/23 23:48:32,1090.375,25.017,62.704
2017/06/24 00:48:32,1090.375,25.040,62.724
2017/06/24 01:48:32,1090.375,25.060,62.684
2017/06/24 02:48:32,1090.258,25.080,62.724
2017/06/24 03:48:32,1090.375,25.100,62.744
2017/06/24 04:48:32,1089.908,25.117,62.700
2017/06/24 05:48:32,1089.792,25.127,62.684
2017/06/24 06:48:32,1090.083,25.140,62.712
2017/06/24 07:48:32,1090.083,25.150,62.708
2017/06/24 08:48:32,1090.083,25.157,62.720
2017/06/24 09:48:32,1089.908,25.163,62.676
2017/06/24 10:48:32,1090.083,25.163,62.652
